Grade_binary,Student_1_5_Grade_performance,Schools_with_high_no_of_low_income_families,Probabaility that 2 student belong to different Race,Class Size Index,Qualification of teacher,4_10_years_expe_teacher,Media Contect Index of School,No of Expulsion per 100 student,Long Suspensions per 100 students,
1,1.65083751,0.482580575,0.780129345,-0.642746444,0.412963287,0.77089875,-0.035925333,-0.267436828,0.381705649,
1,1.315825288,0.378191733,-0.197021298,-1.416934913,-0.825652349,-0.052947348,-0.006369635,0.475066359,-0.072181671,
0,0.100484316,-0.154243422,-0.437192589,0.966859378,-0.479429541,0.156981477,-0.136517919,0.916743208,-0.04162729,
0,1.348576723,1.555314461,0.037479478,-1.446791296,0.053577109,-0.595727951,-0.034025544,1.044021193,-0.937300586,
0,0.763618016,0.692789265,0.496832882,-1.111072098,-0.135996174,-0.149958963,-0.042441571,0.262235183,-0.476348496,
1,1.211699879,-0.06187439,0.508428979,-1.496520095,-0.853430024,-0.592253727,-0.289750838,-0.679603277,0.311261778,
0,1.348653738,0.12283281,-1.476640645,-1.370211942,1.167660886,-0.980487323,-0.338076118,-0.439415963,-0.090571081,
0,1.11829822,0.592502659,2.197436771,-1.453812005,0.370263912,0.086326446,0.065333831,1.189140491,-0.261328205,
0,0.127814182,1.343402546,0.41958769,0.612995564,-0.717012054,-0.20745558,-0.087521152,1.077892873,1.147390705,
1,1.713865691,1.922935042,0.413011314,-1.789768439,-0.085278443,1.707404878,-0.042743974,-0.082300925,0.501971967,
0,-0.200201798,1.002124536,-0.279615056,-1.088343954,-0.906928127,0.072958504,-0.325064026,0.090516995,0.160302884,
0,-0.336588675,1.175565538,0.35492357,-0.314203348,-0.092948266,0.277455333,-0.061070149,0.734664026,-0.373301031,
0,0.89555683,0.748275159,-1.106903072,0.777323677,0.322242049,0.806887624,-0.078561612,0.325336677,-0.236271426,
0,0.484008822,1.01736153,0.371831045,-0.535270721,0.084230674,-0.420172359,-0.081134463,1.228842288,-0.286968193,
1,1.325679277,-0.390348394,1.001708261,0.299930666,-0.725846341,-0.310642921,-0.257368138,0.30555031,-1.614693819,
1,1.248828971,0.291288458,-1.208476444,0.727323639,-0.519020671,0.365755632,-0.2368959,0.017570728,0.378651779,
1,0.649764692,-0.419010289,0.60152873,0.627786526,0.753585444,-0.68038745,0.015776518,1.072105946,0.428002283,
1,0.07095616,0.063944509,1.272559201,-1.229374738,-1.588064108,-0.596802715,0.008563889,0.683406832,0.442073185,
1,1.498395412,1.039913107,0.441187959,-0.803178217,-0.054939483,0.189618,-0.008858348,0.20392866,-0.727914288,
0,2.124729575,-0.46620958,-2.39330368,0.496888671,-0.969163124,1.12783252,-0.263461946,2.238584678,0.523921967,
0,1.597869556,0.454224356,2.25745024,0.500338791,-0.440938524,0.129858782,-0.000153676,0.783561596,0.321873298,
0,1.190901904,1.625315562,1.685820888,0.00389065,0.499267828,-0.291715048,-0.008979593,0.301884409,-0.035551551,
0,0.107984387,-0.84368105,-0.517625667,0.609704139,-0.793730628,0.186237696,1.032684906,0.880178552,-1.092802048,
0,-0.057832954,0.811959043,0.11966429,1.192075012,0.059869445,1.002441398,-0.252475933,3.092157867,-0.871667024,
1,-1.004948097,-0.722732358,0.982604648,0.111881985,0.365631545,1.091267545,-0.063967647,0.510546989,-0.451713559,
0,-0.161746469,-0.680068759,0.938079303,-0.071488851,2.678542485,-0.988781609,-0.029534208,-0.504081058,-0.113707378,
1,0.34746982,-0.717844698,0.320878265,0.177096056,0.916490274,1.006020935,-0.067488055,-0.065181825,-0.140074738,
0,-0.299022983,-0.267188599,-1.60216185,0.472438573,0.705576715,0.163199652,-0.459850267,0.353465493,-0.5381415,
1,-0.290668811,0.134862758,0.833966135,0.253020773,-0.187019955,-0.209802596,-0.096114943,-0.237717351,0.063245864,
1,1.820022849,-1.242691156,-0.181619344,-0.172189645,0.052867551,2.520324051,-0.231341105,-1.122076909,-0.829248308,
0,1.546454637,0.180853413,0.360522352,0.068035663,0.410929395,2.752560892,-0.089003102,0.760626575,0.606440667,
